AddressID,CpID,Type,Addr1,Addr2,Addr3,City,Region,PostalCd,Country,Telephone,Fax,Email,MobilePhone,InvoiceAddr,RemitToAddress,isBillingAddressOnly,BillingEmail
402580,1133,PRIMARY,STR MATERIAL INC.,225 Willington Way,,Oswego,IL,60543,,(630) 801-8850,(630) 801-8852,strmaterialinc@gmail.com; admi.strmaterialcrystal@gmail.com; ib@ucsincny.com; abuyanovskiy@ucsincny.com,,Y,0,NULL,
402582,1135,PRIMARY,GREENSTAR RECYCLING,2742 East Market Street,,Des Moines,IA,50317,,(515) 333-4969,,Heidi.Blue@greenstarrecycling.com; ib@ucsincny.com,,Y,0,NULL,
402583,1136,PRIMARY,INTERNATIONAL ALLOY-V,8801 Thornbury Place,,Waxhaw,NC,28173,,(980) 245-2085,(866) 245-1231,traffic@scraptrader.com; larry.schipper@scraptrader.com; ib@ucsincny.com; abuyanovskiy@ucsincny.com,,Y,0,NULL,
402584,1137,INVOICE,PADNOS,PO Box 638748,,Cincinnati,OH,45263-8748,,(616) 396-6521,(616) 396-7789,Carter.Griffin@padnos.com; nancy@padnos.com; plasticsadmin@padnos.com; scott.nyhuis@padnos.com; ab@ucsincny.com; ib@ucsincny.com,,Y,0,NULL,
402585,1138,PRIMARY,RAFF RECYCLING CORPORATION,PO BOX 1,209 GOSHEN ROAD,CAPE MAY COURT HOUSE,NJ,8210,,(609) 465-7406,,raffs@comcast.net; ib@ucsincny.com,,Y,0,NULL,
402586,1139,INVOICE,WM RAY'S TRASH,PO Box 1,,Clayton,IN,46118,,(317) 381-0968,(317) 539-5383,rebates@raystrash.com; wsmith@raystrash.com; bmoench@raystrash.com; ib@ucsincny.com; abuyanovskiy@ucsincny.com,,Y,0,NULL,
402587,1140,PRIMARY,RECYCLE SOLUTIONS,1054 KANSAS STREET,,MEMPHIS,TN,38106,,(901) 948-9500,,rdeyoung@recyclesolutions.net; ib@ucsincny.com; aa@scrapmanagement.com,,Y,0,NULL,
402588,1141,PRIMARY,AFS ENTERPRISES,PO Box 961029,,Fort Worth,TX,76161-1029,,(216) 651-9499,,kristie@afsenterprises.net,NULL,Y,0,NULL,
402589,1142,PRIMARY,AMAZING TRUCKING & LOGISTICS,5203 W. 65th Street,,Bedford Park,IL,60638,,(402) 932-6541,,omaha@amazing-tl.com,NULL,Y,0,NULL,
402590,1143,PRIMARY,"AMERICAN MARINE EXPRESS, INC.",P.O. Box 32487,,Euclid,OH,44132,,(216) 268-3005,,cs@amxtrans.com,NULL,Y,0,NULL,
402591,1144,PRIMARY,AMWARE EXPRESS LLC,19801 Holland Road,,Brook Park,OH,44142,,(440) 836-3729,,drayage@amware.com,NULL,Y,0,NULL,
402592,1145,PRIMARY,"ARIZONA ADMIN & TRANSPORT, LLC",,,Chandler,AZ,85248,,(602) 757-5620,,Marty@azatllc.com,NULL,Y,0,NULL,
402593,1146,PRIMARY,ARL TRANSPORT,PO Box  809374,,Chicago,IL,60680-9374,,(800) 245-4722,,,NULL,Y,0,NULL,
402594,1147,PRIMARY,"BAJET VAN LINES, INC.",1217 S 3rd Ave,,Wausau,WI,54401,,(715) 843-4691,,Terrie.Hora@bajetvanlines.com; service@bajetvanlines.com,NULL,Y,0,NULL,
402595,1148,PRIMARY,BONNEY'S EXPRESS INC.,400 Franklin Street,Suite 302,Braintree,MA,2184,,(617) 269-2177,,16172696218@maxemailsend.com,NULL,Y,0,NULL,
402596,1149,PRIMARY,CACERES VP TRANSPORT,87 Magnolia Ave,,Kearny,NJ,7032,,(201) 706-2569,,vicky.c@caceresvptrans.net,NULL,Y,0,NULL,
402597,1150,PRIMARY,CAROLINA NATIONAL TRANSPORTATION LLC,PO Box 619773,,Chicago,IL,60680-9773,,(843) 849-0451,,,NULL,Y,0,NULL,
402598,1151,PRIMARY,"CDS TRANSPORT, INC.",P.O. Box 100,,Herber City,UT,84032-3200,,(614) 777-9393,,dispatch@cdstransport.com,NULL,Y,0,NULL,
402599,1152,PRIMARY,CENTENARIO TRUCKING,344 Ozark Drive,,Bolingbrook,IL,60440,,(630) 205-1881,,centenariotrucking@centenariotkg.com,NULL,Y,0,NULL,
402600,1153,PRIMARY,CH ROBINSON,P.O. Box 9121,,Minneapolis,MN,55480-9121,,314-957-9000,(605) 339-1033,James.DeSanto@chrobinson.com,904-504-7104,Y,0,NULL,
402601,1154,PRIMARY,COBRA TRANSPORTATION SERVICE INC,301 Eaton Street,,St. Paul,MN,55107,,(651) 552-1151,,cobradispatch@cobratrans.com,NULL,Y,0,NULL,
402602,1155,PRIMARY,COMMAND TRANSPORTATION LLC,2633 Paysphere Circle,,Chicago,IL,60674,,(847) 213-2467,(847) 324-7456,creddy@commandtransportation.com,NULL,Y,0,NULL,
402603,1156,PRIMARY,DEW LOGISTICS,1549 S Breiel Blvd. Suite A,,Middletown,OH,45044,,(513) 727-4700,,jlong@dewlogistics.com,NULL,Y,0,NULL,
402604,1157,PRIMARY,GOLD PRIORITY TRANSPORTATION,P.O. Box 46,,Lewis Center,OH,43035,,(614) 332-0381,,goldpriority@gmail.com,NULL,Y,0,NULL,
402605,1158,PRIMARY,"J.B. HUNT TRANSPORT, INC",PO Box 98545,,Chicago,IL,60693-8545,,(479) 820-5011,,Charlie_Perez@jbhunt.com,NULL,Y,0,NULL,
402606,1159,PRIMARY,JEI INC,1876 Custer Roberts Hollow Ln,,Custer,KY,40115,,(312) 907-4149,,jeiarcos@aol.com,NULL,Y,0,NULL,
402607,1160,PRIMARY,LONE STAR INTERMODAL SERVICES,PO Box 180785,,Dallas,TX,75214,,(800) 229-0024,,dispatch@lonestarlogistics.com,NULL,Y,0,NULL,
402608,1161,PRIMARY,MAVI TRANSPORT INC,8870 NW 95TH STREET,,MEDLEY,FL,33178,,(305) 885-0361,,mavitrans@aol.com,NULL,Y,0,NULL,
402609,1162,PRIMARY,MIDWEST SYSTEMS,5911 Hall Street,,St. Louis,MO,63147,,(314) 389-0400,,customerservice@mwsystems.com,NULL,Y,0,NULL,
402610,1163,PRIMARY,NOLAN TRANPORT,PO Box 931184,,Atlanta,GA,31193-1184,,(770) 509-9611,,miles.moran@ntgfreight.com,,Y,0,NULL,
402611,1164,PRIMARY,NORDIC LOGISTICS,2702 N.LOOP 1604 E # 202,,SAN ANTONIO,TX,78232,,(214) 540-5380,,dallasdispatch@nordic-logistics.com,NULL,Y,0,NULL,
402612,1165,PRIMARY,NOW TRANSPORTATION INC,PO Box 207,,Hartford City,IN,47348,,(765) 348-4475,,now.trans@hotmail.com,NULL,Y,0,NULL,
402613,1166,PRIMARY,P&R TRUCKING INC,740 Julie Ann Way,,Oakland,CA,94621,,(510) 839-1602,,Dispatch dispatch@pandrtrucking.com,NULL,Y,0,NULL,
402614,1167,PRIMARY,PB EXPRESS - CLEVELAND,PO BOX # 73192,,CLEVELAND,OH,44193-0700,,(216) 741 5556,,dispatch_clv@pbexpress.com.,,Y,0,NULL,
402615,1168,PRIMARY,PEAK TRANSPORTATION SOLUTIONS,8122 Clyde Park Avenue,,Byron Center,MI,49315,,(616) 878-7325,,msevigny@peakts.com,NULL,Y,0,NULL,
402616,1169,PRIMARY,PFS TRANSPORTATION INC.,PO Box 1752,,Memphis,TN,38101-1752,,(888) 490-7040,,workorder@pfstransportation.com,NULL,Y,0,NULL,
402617,1170,PRIMARY,PRIDE LOGISTICS LLC,11800 South 75th Avenue,Suite 2W,Palos Heights,IL,60463,,(708) 671-2051,,rafal@pridelogistics.com,NULL,Y,0,NULL,NULL
402618,1171,PRIMARY,RITE WAY TRANSPORT,P.O. Box 95888,,Chicago,IL,60694,,(708) 757-5480,,jburke@ilgi.com,NULL,Y,0,NULL,
402619,1172,PRIMARY,SCHNEIDER LOGISTICS - GA,2567 Paysphere Circle,,Chicago,IL,60674,,(920) 592-6899,,CameronW@schneider.com,NULL,Y,0,NULL,
402620,1173,PRIMARY,SCHNEIDER NATIONAL INC,2567 Paysphere Circle,,Chicago,IL,60674,,(866) 419-0650,,,NULL,Y,0,NULL,
402621,1174,PRIMARY,SDS LOGISTICS SERVICES,19 Colonial Drive,Suite 27,Youngstown,OH,44505,,(330) 759-8066,,dispatch@sdslogistics.com,,Y,0,NULL,
402622,1175,PRIMARY,SOUTHERN INTERMODAL EXPRESS,PO BOX 929,,Mobile,AL,36601,,(504) 241-0749,,kpalazzo@sixinc.net,NULL,Y,0,NULL,
402623,1176,PRIMARY,SWIFT TRANSPORTATION,PO BOX 643985,,PITTSBURGH,PA,15264-3985,,(602) 269-9700,,,NULL,Y,0,NULL,
402624,1177,PRIMARY,TOTAL QUALITY LOGISTICS,P.O. Box 634558,,Cincinnati,OH,45263-4558,,(800) 580-3101,ext. 58472/58473,EWatson@tql.com,502-936-5279,Y,0,NULL,
402625,1178,PRIMARY,TRANSMAR DISTRIBUTION SERVICES LTD,PO Box 15644,8525 Market Street Rd,Houston,TX,77220,,(713) 675-0790,,tim@transmardistribution.com,NULL,Y,0,NULL,
402626,1179,PRIMARY,TRANSNATIONAL LOGISTICS CORP,PO Box 221,,Jericho,NY,11753,,(973) 522-1998,,transnationallogistics@yahoo.com,NULL,Y,0,NULL,
402627,1180,PRIMARY,TRANSPORTATION INC,PO BOX 30015 - Dept 6,,Salt Lake City,UT,84130-0015,,(800) 373-1029,,,NULL,Y,0,NULL,
402628,1181,PRIMARY,TRANSPORTATION RESOURCES,27-31 Kelly Drive,,Buffalo,NY,14227,,716.674.5622,,dave@transportationresource.com; zach@transportationresource.com,716.674.9766,Y,0,NULL,
402629,1182,PRIMARY,T-REX TRANSPORTATION INC.,6500 N.W. PRAIRIE VIEW ROAD,,KANSAS CITY,MO,64151,,(816) 455-4555,,dispatch@trexmo.com,NULL,Y,0,NULL,
402630,1183,PRIMARY,"TRIMEX INTERNATIONA., INC.",4740 Dues Drive,Suite J,Cincinnati,OH,45246,,(513) 317-6909,,trimexinc@yahoo.com,NULL,Y,0,NULL,
402631,1184,PRIMARY,TRINITY LOGISTICS,PO Box 62702,,Baltimore,MD,21264-2702,,302-262-0635,,jeremy.odom@trinitylogistics.com; jared.lineweaver@trinitylogistics.com,NULL,Y,0,NULL,
402634,1187,PRIMARY,WESTERN PACIFIC PULP & PAPER,9400 Hall Rd.,,Downey,CA,90241,,(562) 803-4401,,,NULL,Y,0,NULL,
402635,1188,PRIMARY,FREIGHTQUOTE.COM,901 Carondelet Ave,,Kansas City,MO,64114,US,816.949.6296 x6296,,pray@freightquote.com; Angelo.Christiano@freightquote.com; ib@ucsincny.com,,Y,0,NULL,
402636,1189,PRIMARY,FREIGHTWAYS CORP,2785 Fairview Ave N.,,Roseville,MN,55112,,(218) 462-2055,,freightways@pinebrez.com,NULL,Y,0,NULL,
402637,1190,PRIMARY,ACORN FARMS,7679 WORTHINGTON ROAD,,GALENA,OH,43021,,(614) 891-9348,,dickt@acornfarms.com,NULL,Y,0,NULL,
402638,1191,PRIMARY,"ADC RESOURCES, INC",502 Court St Ste 406,,Utica,NY,13502,,(315) 507-3325,,bob@adcresourcesinc.com; psnell@adcresourcesinc.com,NULL,Y,0,NULL,
402639,1192,PRIMARY,ADVANCED DISPOSAL,8880 Old Federal Rd,,Ball Ground,GA,30107,,(678) 710-2075,,zpoucher@advanceddisposal.com; cslade@advanceddisposal.com; nmask@advanceddisposal.com; jb@scrapmanagement.com,,Y,0,NULL,
402640,1193,PRIMARY,ALLEN COUNTY RECYCLERS INC.,PO Box 1264,541 South Central,Lima,OH,45802,US,(419) 223-5010,,recycle@rubbernuggets.com; ib@ucsincny.com; aa@scrapmanagement.com,,Y,0,NULL,
402641,1194,PRIMARY,ATLANTIC NURSERIES INC,691 DEER PARK AVE,,DIX HILLS,NY,11746,,(631) 586-6242,,16315866287@maxemailsend.com; aa@scrapmanagement.com,,Y,0,NULL,
402642,1195,PRIMARY,BAYSHORE RECYCLING CORP,75 Crows Mill Road,,Keasbey,NJ,8832,,(732) 738-6000,,jbray@bayshorerecycling.com; aa@scrapmanagement.com,,Y,0,NULL,
402643,1196,PRIMARY,BEDS AND BORDERS,600 Laurel Lane,,Laurel,NY,11948,,(631) 298-1836,,hs@bedsandborders.com; aa@scrapmanagement.com,,Y,0,NULL,
402644,1197,PRIMARY,BUFFALO RECYCLERY,PO Box 99823,,Chicago,IL,60696-7623,,(716) 614-3368,,john.beszczynski@awin.com,NULL,Y,0,NULL,
402645,1198,PRIMARY,"BUFFALO RECYCLING ENTERPRISES, LLC",266 Hopkins Streeet,,Buffalo,NY,14220,,(716) 405-1244,,hwiseman@modern-corp.com,NULL,Y,0,NULL,
402646,1199,PRIMARY,BUTLER PAPER RECYCLING INC,PO Box 1602,,Suffolk,VA,23439-1602,,(757) 539-2351,(757) 925-0874,TByrum@butlerpaper.com; gcrow@butlerpaper.com; aakopyan@ucsincny.com; ib@ucsincny.com,(757) 621-9906,Y,0,NULL,
402647,1200,PRIMARY,CASCADES RECOVERY,66 Shorncliffe Road,,Toronto,ON,M8Z 5K1,,(585) 527-8110,,susmit_mahalanabis@cascades.com; eoleschuk@recoverycascades.com; aa@scrapmanagement.com,,Y,0,NULL,
402648,1201,PRIMARY,CEDRUS NURSERY,49 Sewal Rd,,Bridgeton,NJ,8302,,(856) 455-4342,,aa@scrapmanagement.com,,Y,0,NULL,
402649,1202,PRIMARY,CELLMARK INC,1200 MacArthur Blvd,Suite 206,Mahwah,NJ,7430,,201-286-9196,,ecinvoice@cellmark.com,NULL,Y,0,NULL,
402650,1203,PRIMARY,CH RECYCLING COMPANY,PO Box 785216,,Philadelphia,PA,19178-5216,,(203) 488-0887,,tdenello@ct.chrecycling.com,NULL,Y,0,NULL,
402651,1204,PRIMARY,CICCONI FARMS,1005 Farmingdale Road,,Jackson,NJ,8527,,(732) 363-1420,,Al@CicconiFarms.com,NULL,Y,0,NULL,
402652,1205,PRIMARY,COLGATE PAPER STOCK,12 Industrial Drive,,New Brunswick,NJ,8901,,(732) 246-8446,,joe.dinardi@colgatepaper.com,NULL,Y,0,NULL,
402654,1207,PRIMARY,COTTAGE GARDENS,4992 MIDDLE RDG RD,,PERRY,OH,44081,,(440) 259-2900,,jlagania@cottagegardensinc.com,NULL,Y,0,NULL,
402655,1208,PRIMARY,CUMBERLAND RECYCLING,PO Box 2304,,South Vineland,NJ,8362,,(856) 692-7650,,jeffl@cumberlandrecyclingcorp.com; aa@scrapmanagement.com,,Y,0,NULL,
402656,1209,PRIMARY,D & P ENTERPRISES,6774 Timberwood Dr.,,West Chester,OH,45069,,(513) 422-4920,,orders@mtpenterprises.net,NULL,Y,0,NULL,
402657,1210,PRIMARY,DAVE'S RECYCLING - VA,130 Leray Cir,,Harrisonburg,VA,22801,,(540) 434-0836,,,NULL,Y,0,NULL,
402658,1211,PRIMARY,DELMARVA RECYCLING INC,909 Boundary Street,,Salisbury,MD,21801,,(410) 546-1111,,,NULL,Y,0,NULL,
402659,1212,PRIMARY,DELTA PLASTICS INC.,8801 Frazier Pike,,Little Rock,AR,72206,,800.277.9172,,deltaplastics@aol.com,NULL,Y,0,NULL,
402660,1213,PRIMARY,DPEC ENTERPRISES,Tim Calhoun,P.O. BOX 5458,Cincinnati,OH,45254,,(513) 313-3971,,timcalh@yahoo.com,NULL,Y,0,NULL,
402661,1214,PRIMARY,EAST COAST NURSERIES,301 Reeves Ave,,Riverhead,NY,11901,,(631) 727-8887,,michelle.eastcoastnurseries@bluetie.com; aa@scrapmanagement.com,,Y,0,NULL,
402662,1215,PRIMARY,EKMAN RECYCLING,P.O. Box 644238,,Pittsburgh,PA,15264,,(732) 202-9500,,Cliff.Brand@ekmanrecycling.com; aa@scrapmanagement.com,,Y,0,NULL,
402663,1216,INVOICE,EMPIRE RECYCLING CORP,P.O. BOX 353,,Utica,NY,13503,,(607) 729-1518,,bambi@empirerecycling.com; aa@ucsincny.com,,Y,0,NULL,
402664,1217,PRIMARY,E-SCRAP SOLUTIONS,7601 Detour Ave,,Cleveland,OH,44103,,(440) 498-1430,,craig@escraprecycling.com,NULL,Y,0,NULL,
402665,1218,PRIMARY,FAUQUIER COUNTY ENVIRONMENTAL SERVICES,6438 College Street,,Warrenton,VA,20187,,(540) 347-6811,,nathaniel.townley@fauquiercounty.gov,NULL,Y,0,NULL,
402666,1219,PRIMARY,FOUR SEASONS RECYCLING & TRADING,10264-B Sycamore Drive,,Ashland,VA,23005,,(804) 550-3460,,wanda@fourseasonrecycling.com,NULL,Y,0,NULL,
402667,1220,INVOICE,FREEHOLD CARTAGE INC,PO Box 5010,,Freehold,NJ,07728-5010,,(732) 462-1001,,tblanchet@freeholdcartage.com; scottjohnson@freeholdcartage.com; aa@scrapmanagement.com,,Y,0,NULL,
402668,1221,PRIMARY,GLOVER PERENNIALS,PO Box 759,,Cutchogue,NY,11935,,(631) 765-3546,,gloverper@verizon.net; aa@scrapmanagement.com,,Y,0,NULL,
402669,1222,INVOICE,GREAT LAKES PAPER,1885 Harlem Road,,Buffalo,NY,14212,,(716) 854-3232,,nitemen2121@yahoo.com; aa@scrapmanagement.com,,Y,0,NULL,
