partner_id,Type,is_remit,is_invoice_entity,is_facility,Alias,company_id,address,adderess2,city,state,zip,country,Contact,Phone,Email
48 FORTY SOLUTIONS - RP,Location,FALSE,FALSE,TRUE,PITTSBURGH - SITE 223,ALLEGHENY RECYCLED PRODUCTS,"4201 Grand Ave, Ste 1",,Pittsburgh,PA,15225,,Kate Matz,(772) 349-2497,kmatz@arpallet.com; JCory@arpallet.com; john.hart@48forty.com; rp@scrapmanagement.com; site223logistics@48forty.com; jessica.bonsall@48forty.com;kmatz@arpallet.com; JCory@arpallet.com; john.hart@48forty.com; rpereira@ucsincny.com
48 FORTY SOLUTIONS - TW,Inv/Remit,TRUE,TRUE,FALSE,INVOICE,48 FORTY SOLUTIONS,PO Box 849729,,Dallas,TX,75284-9729,United States,Jessica Bonsal,(409) 789-8005,jessica.bonsall@48forty.com
48 FORTY SOLUTIONS - TW,Location,FALSE,FALSE,TRUE,"INDIANAPOLIS, IN - SITE 316",48 FORTY SOLUTIONS - SITE 316,606 West Troy Ave.,,Indianapolis,IN,46225,United States,Eric Friddle,317-780-0700,eric.friddle@48forty.com; site316@48forty.com; jessica.bonsall@48forty.com; sa@scrapmanagement.com
48 FORTY SOLUTIONS - TW,Location,FALSE,FALSE,TRUE,"SOUTH BARTOW, FL - SITE 208",48 FORTY SOLUTIONS - TW,5700 U.S. Hwy 17th,,South Bartow,FL,33830,,Ken Sadenwater,(863) 533-2285,ken.sadenwater@48forty.com; joanne.hicks@48forty.com; jessica.bonsall@48forty.com; sa@scrapmanagement.com
4TH GENERATION RECYCLING,Inv/Remit,TRUE,TRUE,FALSE,INVOICE,4TH GENERATION RECYCLING,P.O. Box 117165,,Atlanta,GA,30368-7165,,Robin Hunting,954-306-6901,RH@4GRecycling.com; Dispatch@4GRecycling.com; ab@scrapmanagement.com
4TH GENERATION RECYCLING,Location,FALSE,FALSE,TRUE,CHERAW SC,4TH GENERATION RECYCLING,680 Jersey Street,,Cheraw,SC,29520,,Robin Hunting,954-306-6901,RH@4GRecycling.com; Dispatch@4GRecycling.com;
4TH GENERATION RECYCLING,Location,FALSE,FALSE,TRUE,"Deerfield Beach, Fl",4TH GENERATION RECYCLING,1456 W Newport Center Drive,,Deerfield Beach,FL,33442,,Reports,954-306-6901,Reports@4GRecycling.com;Reports@4GRecycling.com
4TH GENERATION RECYCLING,Location,FALSE,FALSE,TRUE,GRAND RAPIDS MI,4TH GENERATION RECYCLING,5015 52nd Street,,Grand Rapids,MI,49512,,Robin Hunting,954-306-6901,RH@4GRecycling.com; Dispatch@4GRecycling.com; ab@scrapmanagement.com;RH@4GRecycling.com; Dispatch@4GRecycling.com; ab@scrapmanagement.com
4TH GENERATION RECYCLING,Location,FALSE,FALSE,TRUE,"HAZLETON, PA",4TH GENERATION RECYCLING,504 White Birch Road,,Hazleton,PA,18202,,Robin Hunting,954-306-6901,RH@4GRecycling.com; Dispatch@4GRecycling.com; ab@scrapmanagement.com;RH@4GRecycling.com; Dispatch@4GRecycling.com; ab@scrapmanagement.com
4TH GENERATION RECYCLING,Location,FALSE,FALSE,TRUE,"INDIANAPOLIS, IN",Heartland Food Products,4935 W 86TH ST,,Indianapolis,IN,46268,,FIDENCIO CORTES,317-612-1202,
4TH GENERATION RECYCLING,Location,FALSE,FALSE,TRUE,KENTWOOD MI,4TH GENERATION RECYCLING,2929 32nd St,Docks 15-18,Kentwood,MI,49512,,Robin Hunting,,RH@4GRecycling.com;RH@4GRecycling.com
4TH GENERATION RECYCLING,Location,FALSE,FALSE,TRUE,LAKE CITY SC,4TH GENERATION RECYCLING,431 Cedar Street,,Lake City,SC,29560,,Robin Hunting,954-306-6901,RH@4GRecycling.com; Team2@4GRecycling.com; JK@4GRecycling.com
4TH GENERATION RECYCLING,Location,FALSE,FALSE,TRUE,LAREDO TX,4TH GENERATION RECYCLING,12001 General Milton Dr.,,Laredo,TX,78045,,Robin Hunting,954-306-6901,RH@4GRecycling.com; Dispatch@4GRecycling.com; ab@scrapmanagement.com;RH@4GRecycling.com; Dispatch@4GRecycling.com; ab@scrapmanagement.com
4TH GENERATION RECYCLING,Location,FALSE,FALSE,TRUE,"MARIETTA, OK",DOLLAR TREE,201 Dollar Tree Way,,Marietta,OK,73448,,Robin Hunting,954-306-6901,RH@4GRecycling.com; ab@scrapmanagement.com;RH@4GRecycling.com; ab@scrapmanagement.com;RH@4GRecycling.com; ab@scrapmanagement.com;RH@4GRecycling.com; ab@scrapmanagement.com;RH@4GRecycling.com; ab@scrapmanagement.com
4TH GENERATION RECYCLING,Location,FALSE,FALSE,TRUE,MIAMI FL,NEW ERA RECYCLING For 4G,3671 NW 81st Street,,Miami,FL,33147,,Robin Hunting,954-306-6901,RH@4GRecycling.com; Dispatch@4GRecycling.com;;RH@4GRecycling.com; Dispatch@4GRecycling.com;;RH@4GRecycling.com; Dispatch@4GRecycling.com;;RH@4GRecycling.com; Dispatch@4GRecycling.com;
4TH GENERATION RECYCLING,Location,FALSE,FALSE,TRUE,MT JULIET TN,ALDI for 4TH GENERATION RECYCLING,2080 ALDI Boulevard,,Mt Juliet,TN,37122,,JD Rousseau,954-306-6901,
4TH GENERATION RECYCLING,Location,FALSE,FALSE,TRUE,SHREVEPORT LA,4TH GENERATION RECYCLING,6020 Linwood Ave,,Shreveport,LA,71108,,,,
4TH GENERATION RECYCLING,Location,FALSE,FALSE,TRUE,SOMERSET PA,CVS Somerset For 4G RECYCLING,322 Revco Rd,,Somerset,PA,15501,,Robin Hunting,954-306-6901,RH@4GRecycling.com; Dispatch@4GRecycling.com; ab@scrapmanagement.com;RH@4GRecycling.com; Dispatch@4GRecycling.com; ab@scrapmanagement.com
4TH GENERATION RECYCLING,Location,FALSE,FALSE,TRUE,TAYLOR PA,Corestates for 4G RECYCLING,9 Stauffer Industrial Park,,Taylor,PA,18517,,Robin Hunting,954-306-6901,RH@4GRecycling.com; Dispatch@4GRecycling.com; ab@scrapmanagement.com;RH@4GRecycling.com; Dispatch@4GRecycling.com; ab@scrapmanagement.com
4TH GENERATION RECYCLING,Location,FALSE,FALSE,TRUE,WARREN MI,4TH GENERATION RECYCLING,12255 E 8 Mile Rd.,,Warren,MI,48089,,Robin Hunting,954-306-6901,RH@4GRecycling.com
4TH GENERATION RECYCLING,Location,FALSE,FALSE,TRUE,YOUNGSTOWN OH,360 RESINS FOR 4TH GENERATION RECYCLING,107 N Hine Street,,Youngstown,OH,44506,,Robin Hunting,954-306-6901,RH@4GRecycling.com; Dispatch@4GRecycling.com; ab@scrapmanagement.com;RH@4GRecycling.com; Dispatch@4GRecycling.com; ab@scrapmanagement.com
501K RECYCLING LLC,Inv/Remit,TRUE,TRUE,FALSE,INVOICE,501K RECYCLING LLC,540 Beaver Creek Rd,,Huntingdon,TN,38344,,Kiley Pearson,,kiley@501k-recycling.com; sa@scrapmanagement.com
501K RECYCLING LLC,Location,FALSE,FALSE,TRUE,PARIS TN,501K RECYCLING LLC,1580 Industrial Park Rd,,Paris,TN,38242,,Johnny Pearson,,johnnyp@aeneas.net
A & M RAILROAD,Remit,TRUE,TRUE,FALSE,INVOICE,A&M RAILROAD,1301 N 4th Street,,Fort Smith,AR,72901,,Michele Burgess,479-200-5491,operations@amrailroad.com; micheleb@amrailroad.com
A PLUS PALLET CO LLC,Remit,TRUE,TRUE,FALSE,INVOICE,A PLUS PALLET CO LLC,120 Sun N Sand Rd,,Spartanburg,SC,29303,United States,Anthony Boyce,864-573-9173,apluspalletco@gmail.com; ib@scrapmanagement.com
A TO Z PAWN,Remit,TRUE,TRUE,FALSE,INVOICE,A TO Z PAWN,121 W White Oak St,,Leitchfield,KY,,United States,Bob Decker,270-230-7343,atozpawn84@yahoo.com; ib@scrapmanagement.com
A&J ENTERPRISES,Remit,TRUE,TRUE,FALSE,INVOICE,A&J ENTERPRISES,P.O. Box 2261,,Flemington,NJ,8822,,Tara Casternovia,908-797-7263,info@ajenterpriserigging.com
A&S METALS,Remit,TRUE,TRUE,FALSE,INVOICE,A&S METALS,PO Box 955,,Castroville,CA,95012,,Edward Parras,(831) 633-3379,EParras@ASMetals.com; ib@scrapmanagement.com
A&S METALS,Location,FALSE,FALSE,TRUE,MODESTO CA,A&S METALS,1616 Angelo Way,,Modesto,CA,95358,,Edward Parras,(831) 633-3379,EParras@ASMetals.com;ccornejo@asmetals.com;
A-1 PALLET CO,Remit,TRUE,TRUE,FALSE,INVOICE,A-1 PALLET CO,PO Box 2366,,Clarksville,IN,47131-2366,United States,Charlie Waters,812-288-6339,charlie@a1palletco.com; ab@scrapmanagement.com
A-1 PALLET CO,Location,FALSE,FALSE,TRUE,PICK UP LOCATION,A-1 PALLET CO,1507 Progress Way,,Clarksville,IN,47129,,Charlie Waters,812-288-6339,Charlie@A1PalletCo.com
AA PALLET INC,Remit,TRUE,TRUE,FALSE,INVOICE,AA PALLET INC,900 W. 49th place,,Chicago,IL,60609,,Marcos Nava,773-536-3699,marcoaapallets@aol.com; sa@scrapmanagement.com
AA PALLET INC,Location,FALSE,FALSE,TRUE,WAREHOUSE CHICAGO,AA PALLET INC,1017 W. 48th street,,Chicago,IL,60609,,,,
AAA PLASTICS & PAPER RECYCLING,Remit,TRUE,TRUE,FALSE,INVOICE,AAA PLASTICS & PAPER RECYCLING,PO Box 147,,Bath,PA,18014,,Alex Ziabari,570-856-8909,alex.aaapp2021@gmail.com; ib@scrapmanagement.com
AAA PLASTICS & PAPER RECYCLING,Location,,,,BIRDSBORO PA,TOTAL RECYCLE INC,1270 Lincoln Rd,,Birdsboro,PA,19508,,Alex Ziabari,484-262-9984,alex.aaapp2021@gmail.com;alex.aaapp2021@gmail.com
AAA PLASTICS & PAPER RECYCLING,Location,,,,"COLUMBIA, MD",AAA PLASTICS & PAPER RECYCLING,TBD,,Columbia,MD,,United States,,,
AAA PLASTICS & PAPER RECYCLING,Location,,,,EASTON PA,AAA PLASTICS & PAPER RECYCLING,400 Island Park Rd,Building #3,Easton,PA,18042,,,,
AAA PLASTICS & PAPER RECYCLING,Location,,,,LEBANON PA,VS RUBBER,31 Keystone Dr,,Lebanon,PA,17042,United States,,,
AAA PLASTICS & PAPER RECYCLING,Location,,,,"LOWELL, MD",AAA PLASTICS & PAPER RECYCLING,TBD,,Lowell,MD,,United States,,,
AAA PLASTICS & PAPER RECYCLING,Location,,,,NEW CASTLE DE,CENTRAL SALT,341 Pigeon Point Rd,,New Castle,DE,19720,,Robert,302-420-8786,
AAA PLASTICS & PAPER RECYCLING,Location,,,,"SAVAGE, MD",AAA PLASTICS & PAPER RECYCLING,TBD,,Savage,MD,,United States,,,
AARON INDUSTRIES CORP,Inv/Remit,,,,INVOICE,AARON INDUSTRIES CORP,20 Mohawk Drive,PO Box 607,Leominster,MA,1453,,Domenic DeCiantes,978-534-6135,"domd@aaroninc.com, strmaterialinc@gmail.com; ib@ucsincny.com; abuyanovskiy@ucsincny.com"
AARON INDUSTRIES CORP,Location,,,,"LEOMINSTER, MA",CFG,243RR Whitney Street,,Leominster,MA,1453,,,,
AARON INDUSTRIES CORP,Location,,,,USPS Mailing Address,AARON INDUSTRIES CORP,PO Box 607,,Leominster,MA,1453,,,,
