CpID,CompanyNm,Role,ActiveStatus,MasterAccountID,OurCustNo,Terms,TermsCode,APEMail,PaymentDays,CurrCode,OnHold,CreditLimit,CustSvcRep,IndustryNm,WebSite,CpLastEdit
1128,FRANKLIN PLASTICS,P,A,NULL,,Net 45,Net 45,sonya@franklin-scrap.com; leslie@franklin-scrap.com,0,USD, ,-1,NULL,,,
1130,PRIORITY RECYCLING,A,A,NULL,,Net 15,Net 10,,0,USD, ,-1,NULL,,,
1131,RDS,P,A,NULL,,Cash Against Docs,Net 30,,0,USD, ,-1,NULL,,,
1132,RMR CENTRAL CAROLINA LLC,P,A,NULL,,(None),Net 30,,0,USD, ,-1,NULL,,,
1136,INTERNATIONAL ALLOY,A,A,NULL,,Net 30,Net 30,accountspayable@scraptrader.com,0,USD, ,-1,NULL,,,
1137,PADNOS - C,A,A,NULL,,Net 30,Net 30,remittanceadvice@padnos.com; Sheri.Hayward@padnos.com,0,USD, ,100000,NULL,,,
1138,RAFF RECYCLING CORPORATION,A,A,NULL,,Net 15,Net 30,,0,USD, ,-1,NULL,,,
1139,WM RAY'S TRASH,A,A,NULL,,Net 30,Net 30,Jennifer.Pugh@raystrash.com; CBirch@raystrash.com,0,USD, ,-1,NULL,,,
1140,RECYCLE SOLUTIONS,A,A,NULL,,Net 30,,,0,USD, ,-1,NULL,,,
1144,AMWARE EXPRESS LLC,D,A,NULL,,(None),Net 30,,0,USD, ,-1,NULL,,,
1153,CH ROBINSON,D,A,NULL,,(None),Net 30,Jim.Allen@chrobinson.com,0,USD, ,-1,NULL,,,
1155,COMMAND TRANSPORTATION LLC,D,A,NULL,,(None),Net 30,knawrocki@commandtransportation.com,0,USD, ,-1,NULL,,,
1166,P&R TRUCKING INC,D,A,NULL,,(None),Net 30,,0,USD, ,-1,NULL,,,
1169,PFS TRANSPORTATION INC.,D,A,NULL,,(None),Net 30,,0,USD, ,-1,NULL,,,
1170,PRIDE LOGISTICS LLC,D,A,NULL,,(None),Net 30,,0,USD, ,-1,NULL,,,
1172,SCHNEIDER LOGISTICS - GA,D,A,NULL,,(None),Net 30,,NULL,USD, ,-1,NULL,,,
1173,SCHNEIDER NATIONAL INC,D,A,NULL,,(None),Net 30,,0,USD, ,-1,NULL,,,
1174,SDS LOGISTICS SERVICES,D,A,NULL,,(None),Net 30,,0,USD, ,-1,NULL,,,
1177,TOTAL QUALITY LOGISTICS,D,A,NULL,,(None),Net 30,Invoicing (Invoicing@tql.com),0,USD,N,-1,NULL,,www.tql.com,
1178,TRANSMAR DISTRIBUTION SERVICES LTD,D,A,NULL,,(None),Net 30,,0,USD, ,-1,NULL,,,
1179,TRANSNATIONAL LOGISTICS CORP,D,A,NULL,,(None),Net 30,,0,USD, ,-1,NULL,,,
1181,TRANSPORTATION RESOURCES,D,A,NULL,,(None),Net 30,lori@transportationresource.com; accounting@transportationresource.com,0,USD, ,-1,NULL,,,
1184,TRINITY LOGISTICS,D,A,NULL,,(None),Net 30,,0,USD, ,-1,NULL,,,
1188,FREIGHTQUOTE.COM,D,A,NULL,,Net 30,Net 30,,0,USD, ,-1,NULL,,,
1189,FREIGHTWAYS CORP,D,A,NULL,,(None),NULL,,0,USD, ,-1,NULL,,,
1190,ACORN FARMS,V,A,NULL,TEST91913,(None),Net 30,,0,USD, ,-1,NULL,,,
1192,ADVANCED DISPOSAL,S,A,NULL,,(None),Net 30,,0,USD, ,-1,NULL,,,
1193,ALLEN COUNTY RECYCLERS INC.,P,A,NULL,,Net 30,Net 30,,0,USD, ,-1,NULL,,,
1194,ATLANTIC NURSERIES INC,S,A,NULL,,(None),Net 30,,0,USD, ,-1,NULL,,,
1195,BAYSHORE RECYCLING CORP,S,A,NULL,,(None),Net 30,,0,USD, ,-1,NULL,,,
1196,BEDS AND BORDERS,S,A,NULL,,(None),Net 30,,0,USD, ,-1,NULL,,,
1199,BUTLER PAPER RECYCLING INC,A,A,NULL,,Net 30,Net 30,AP@ButlerPaper.com; seberling@butlerpaper.com; mtaylor@butlerpaper.com,0,USD, ,-1,NULL,,,
1200,CASCADES RECOVERY,S,A,NULL,,(None),Net 30,,0,USD, ,-1,NULL,,,
1201,CEDRUS NURSERY,S,A,NULL,,(None),Net 30,,0,USD, ,-1,NULL,,,
1202,CELLMARK INC,P,A,NULL,,Net 30,Net 30,,0,USD, ,-1,NULL,,,
1205,COLGATE PAPER STOCK,V,A,NULL,,(None),Net 30,,0,USD, ,-1,NULL,,,
1208,CUMBERLAND RECYCLING,V,A,NULL,,(None),COD,,0,USD, ,-1,NULL,,,
1212,DELTA PLASTICS INC.,A,A,NULL,,1% Net 10,1% 10 Net 30,,0,USD, ,-1,NULL,,,
1214,EAST COAST NURSERIES,S,A,NULL,,(None),Net 30,,0,USD, ,-1,NULL,,,
1215,EKMAN RECYCLING,A,A,NULL,,Net 30,Net 30,,0,USD, ,-1,NULL,,,
1216,EMPIRE RECYCLING CORP,P,A,NULL,,(None),Net 30,,0,USD, ,-1,NULL,,,
1220,FREEHOLD CARTAGE INC,S,A,NULL,,(None),Net 30,,0,USD, ,-1,NULL,,,
1221,GLOVER PERENNIALS,S,A,NULL,,(None),Net 30,,0,USD, ,-1,NULL,,,
1222,GREAT LAKES PAPER,S,A,NULL,,(None),Net 30,,0,USD, ,-1,NULL,,,
1223,GREAT LAKES RECYCLING,S,A,NULL,,(None),Net 30,Stacey@glradvanced.com,0,USD, ,-1,NULL,,,
1225,GREENEVILLE IRON & METALS,S,A,NULL,,(None),Net 30,info@greenevilleironandmetals.com,0,USD, ,-1,NULL,,,
1226,HALF HOLLOW NURSERY INC,S,A,NULL,,(None),Net 30,,0,USD, ,-1,NULL,,,
1227,HOPEWELL NURSERY,S,A,NULL,,(None),Net 30,,0,USD, ,-1,NULL,,,
1228,INDIGO PLASTICS INC,P,A,NULL,,Net 15,Net 30,,0,USD, ,-1,NULL,,,
1229,LANDCRAFT ENVIRONMENTS LTD,S,A,NULL,,(None),Net 30,,0,USD, ,-1,NULL,,,
1230,LAWRENCE LANDSCAPES,S,A,NULL,,(None),Net 30,,0,USD, ,-1,NULL,,,
1231,LINCOLN NURSERIES,S,A,NULL,,(None),Net 30,,0,USD, ,-1,NULL,,,
1232,MARCK INDUSTRIES INC,S,A,NULL,,Net 30,Net 30,,0,USD, ,-1,NULL,,http://www.marck.net,
1233,MARCK RECYCLING,S,A,NULL,,(None),Net 30,,0,USD, ,-1,NULL,,,
1234,MARJAC NURSERY,S,A,NULL,,(None),Net 30,,0,USD, ,-1,NULL,,,
1236,MERCER GROUP INTL,S,A,NULL,,(None),Net 30,,0,USD, ,-1,NULL,,,
1238,MID-SOUTH RECYCLING,S,A,NULL,,(None),Net 30,,0,USD, ,-1,NULL,,,
1246,ONE SUN NURSERY,S,A,NULL,,(None),Net 30,,0,USD, ,-1,NULL,,,
1247,ONEIDA HERKIMER COUNTY,S,A,NULL,,(None),Net 30,,0,USD, ,-1,NULL,,,
1248,ORIGINAL MATRESS FACTORY,S,A,NULL,,(None),Net 30,,0,USD, ,-1,NULL,,,
1250,PEFORMANCE FOOD GROUP - TN,S,A,NULL,,(None),Net 30,,0,USD, ,-1,NULL,,,
1251,PFG-CUSTOMIZED NEW JERSEY,S,A,NULL,,(None),Net 30,,0,USD, ,-1,NULL,,,
1254,PLASTIC REUSE,S,A,NULL,,(None),Net 30,,0,USD, ,-1,NULL,,,
1256,POWER PALLET INC,S,A,NULL,,(None),Net 30,accountsreceivable@powerpalletinc.com,0,USD, ,-1,NULL,,,
1257,PRATT INDUSTRIES,P,A,NULL,,(None),Net 30,,0,USD, ,-1,NULL,,,
1259,RETURNABLE SERVICES,S,A,NULL,,(None),Net 30,,0,USD, ,-1,NULL,,,
1262,SANICO INC.,S,A,NULL,,(None),Net 30,,0,USD, ,-1,NULL,,,
1263,SCOTT FARMS NURSERYS,S,A,NULL,,(None),Net 30,,0,USD, ,-1,NULL,,,
1267,SOUTHERN SCRAP / PRES WMS,S,A,NULL,,(None),Net 30,,0,USD, ,-1,NULL,,,
1275,TUCKAHOE NURSERIES INC,S,A,NULL,,(None),Net 30,,0,USD, ,-1,NULL,,,
1278,WERLOR WASTE,S,A,NULL,,(None),Net 30,,0,USD, ,-1,NULL,,,
1284,ZOZZARO ATLANTIC COAST PROCESSING LLC,S,A,NULL,,(None),Net 30,,0,USD, ,-1,NULL,,,
1285,ACCURATE PAPER RECYCLING,S,A,NULL,,(None),Net 15,,0,USD, ,-1,NULL,,,
1286,AJ'S RECYCLING SERVICES,A,A,NULL,,Net 30,Net 30,,0,USD, ,-1,NULL,,,
1287,AMERICAN DISMANTLER,P,A,NULL,,Net 30,Net 30,,0,USD, ,-1,NULL,,,
1288,ASHEVILLE WASTE PAPER,S,A,NULL,,(None),Net 30,annette@ashewp.com,0,USD, ,-1,NULL,,,
1290,BRIAN POLLACK,A,A,NULL,,(None),Net 30,,0,USD, ,-1,NULL,,,
1291,CGS SERVICES INC.,S,A,NULL,,(None),Net 30,SArthur@cgsservices.com,0,USD, ,-1,NULL,,,
1292,CHS PLASTICS INC,A,A,NULL,,Net 30,Net 30,Heather@chsplasticsinc.com,0,USD, ,-1,NULL,,,
1293,Z - GENERAL MILL SUPPLY CO,A,A,NULL,,Net 30,Net 30,,0,USD, ,-1,NULL,,,
1294,GLOBAL PAK INC,V,A,NULL,,(None),Net 30,,0,USD, ,-1,NULL,,www.global-pak.com,
1296,GLOBAL RESOURCES,S,A,NULL,,(None),Due on receipt,,0,USD, ,-1,NULL,,,
1297,HOOF'S FARRIER VET SUPPLY,S,A,NULL,,(None),Net 30,,0,USD, ,-1,NULL,,,
1298,IN-PLAS RECYCLING,P,A,NULL,,Net 10,Net 30,kathy@inplasrecycling.com; tracyb@inplasrecycling.com,0,USD, ,-1,NULL,,,
1299,JB PLASTICS,A,A,NULL,,Net 30,Net 30,,0,USD, ,-1,NULL,,,
1300,JIM RIFF,S,A,NULL,,(None),Net 30,,0,USD, ,-1,NULL,,,
1303,MCC RECYCLING SERVICES LLC,V,A,NULL,,(None),Net 30,,0,USD, ,-1,NULL,,,
1306,MONTGOMERY PAPER CO,A,A,NULL,,Net 30,Net 30,Sales@MontgomeryPaper.com,0,USD, ,-1,NULL,,,
1307,MONTGOMERY RECYCLING,S,A,NULL,,(None),Net 15,,0,USD, ,-1,NULL,,,
1308,OMNISOURCE,S,A,NULL,,(None),Net 30,,0,USD, ,-1,NULL,,,
1311,TOTALL METAL RECYCLING,S,A,NULL,,(None),Due on receipt,,0,USD, ,-1,NULL,,,
1312,TRI-CITY WASTE PAPER,S,A,NULL,,(None),Net 30,,0,USD, ,-1,NULL,,,
1313,AGRI-LINK PLASTICS IINC,S,A,NULL,,(None),Due on receipt,,0,USD, ,-1,NULL,,,
1315,BFI RALEIGH RECYCLERY,S,A,NULL,,(None),Net 30,,0,USD, ,-1,NULL,,,
1318,GDS CONOVER MRF,P,A,NULL,,(None),Net 30,,0,USD, ,-1,NULL,,,
1323,MASTER FIBERS INC,S,A,NULL,,(None),Net 30,monica.wilie@masterfibers.com,0,USD, ,-1,NULL,,,
1326,POWERHOUSE RECYCLING,A,A,NULL,,Net 30,Net 30,,0,USD, ,-1,NULL,,,
1331,ZOOK'S PLASTIC RECOVERY,S,A,NULL,,(None),Net 30,,0,USD, ,-1,NULL,,,
1333,ANTHRACITE AUTO PARTS,S,A,NULL,,(None),Net 30,,0,USD, ,-1,NULL,,,
1335,CASELLA WASTE SYSTEMS,A,A,NULL,,(None),Net 30,,0,USD, ,-1,NULL,,,
1336,CITY CARTING & RECYCLING,S,A,NULL,,(None),Net 30,,0,USD, ,-1,NULL,,,
1338,CLINTON NURSERIES INC,S,A,NULL,,(None),Net 30,,0,USD, ,-1,NULL,,,
1339,CONIGLIARO INDUSTRIES,S,A,NULL,,(None),Net 30,dfox@conigliaro.com,0,USD, ,-1,NULL,,,
1342,DRUMCO,S,A,NULL,,(None),Net 30,,0,USD, ,-1,NULL,,,
1343,EL HARVEY & SONS,P,A,NULL,,(None),Net 30,,0,USD, ,-1,NULL,,,
1351,GREENSTAR RECYCLING - PITTSBURGH,S,A,NULL,,(None),NULL,,0,USD, ,-1,NULL,,,
1357,NH KELMAN,P,A,NULL,,Net 30,Net 30,,0,USD, ,-1,NULL,,,
1359,WIN WASTE INNOVATIVE,V,A,NULL,,(None),Net 30,,0,USD, ,-1,NULL,,,
1360,OPR SYSTEMS INC,V,A,NULL,,(None),Net 30,,0,USD, ,-1,NULL,,,
1361,ORE RECOVERED MATERIAL,S,A,NULL,,(None),Net 30,,0,USD, ,-1,NULL,,,
1362,PAWTUCKET RECYCLING ASSOC.,S,A,NULL,,(None),Net 30,,0,USD, ,-1,NULL,,,
1364,PENN WASTE RECYCLING,S,A,NULL,,(None),Net 30,,0,USD, ,-1,NULL,,,
1367,RHB REMOVAL,S,A,NULL,,(None),Net 30,,0,USD, ,-1,NULL,,,
1377,WM RECYCLE AMERICA,A,A,NULL,,Net 30,Net 30,"bgonza19@wm.com; tschaff1@wm.com; Gonzales, Brianna <bgonza19@wm.com>",0,USD, ,-1,NULL,,,
1378,YORKSHIRE PAPER CORP,S,A,NULL,,(None),Net 30,,0,USD, ,-1,NULL,,,
1380,BALCONES RECYCLING,P,A,NULL,,Net 15,Net 30,ar@balconesresources.com,0,USD, ,-1,NULL,,,
1381,BATLINER PAPER STOCK CO,S,A,NULL,,(None),Net 30,swegener@pioneerintl.com,0,USD, ,-1,NULL,,,
1383,CEDAR POLY LLC,A,A,NULL,,Net 30,Net 30,,0,USD, ,-1,NULL,,,
1384,CHANNELED RESOURCES GROUP,S,A,NULL,,(None),Net 30,,0,USD, ,-1,NULL,,,
1385,COMBINED RESOURCES,S,A,NULL,,(None),Net 30,,0,USD, ,-1,NULL,,,
1386,COMMERCIAL RECYCLING CORP,S,A,NULL,,(None),Net 30,invoicing@comrecycling.net,0,USD, ,-1,NULL,,,
1387,COMMUNITY RESOURCE INC,S,A,NULL,,(None),Net 30,carey.barfield@communityresourceinc.com,0,USD, ,-1,NULL,,,
1391,DR. PLASTICS INC.,S,A,NULL,,(None),Net 30,,0,USD, ,-1,NULL,,,
1393,EAGLE ENTERPRISES RECYCLING INC,S,A,NULL,,(None),Net 30,jacquej@eerecycling.com,0,USD, ,-1,NULL,,,
1395,FEDERAL INTERNATIONAL,P,A,NULL,,Net 30,Net 30,,0,USD, ,-1,NULL,,,
1396,FIRSTAR FIBER,A,A,NULL,,Net 30,Net 60,leecornell@firstarfiber.com; seastman@firstarfiber.com; d.easdale@firstarfiber.com,0,USD, ,-1,NULL,,,
1398,GROOT WASTE,S,A,NULL,,(None),Net 30,mmedina@groot.com,0,USD, ,-1,NULL,,,
1400,IROW SHREDDING RECYCLING,S,A,NULL,,(None),Net 30,,0,USD, ,-1,NULL,,,
1404,MIDLAND DAVIS,S,A,NULL,,(None),Net 30,Sofia.Montoya@midlanddavis.com;Amanda.McLean@midlanddavis.com,0,USD, ,-1,NULL,,midlanddavis.com,
1405,MIDWEST FIBER INC,P,A,NULL,,(None),Net 30,tsherriff@Midwest-Fiber.com,0,USD, ,-1,NULL,,,
1407,MISSOURI PLASTICS,S,A,NULL,,(None),Net 30,,0,USD, ,-1,NULL,,,
1408,MR&C SERVICES,S,A,NULL,,(None),Net 15,,0,USD, ,-1,NULL,,,
1410,NORTH CEDAR SOUTH LLC,S,A,NULL,,(None),Net 30,,0,USD, ,-1,NULL,,,
1412,OUTAGAMIE COUNTY RECYCLING,S,A,NULL,,(None),Net 30,Shari.peterson@outagamie.org; patty.adams@outagamie.org,0,USD, ,-1,NULL,,,
1413,PIONEER PAPERSTOCK,S,A,NULL,,(None),Net 30,khowe@Pioneerintl.com,0,USD, ,-1,NULL,,,
1414,PRI GROUP LLC,V,A,NULL,,COD,Net 30,kyle.corbitt@ThePRIGroup.com,0,USD, ,-1,NULL,,,
1415,QUINCY RECYCLE PAPER,S,A,NULL,,(None),COD,RBluhm@quincyrecycle.com,0,USD, ,-1,NULL,,,
1417,RECYCLING WORKS INC,A,A,NULL,,Net 30,Net 30,ap@wasteawaygroup.com,0,USD, ,-1,NULL,,,
1418,REVOLUTION RECOVERY LLC,P,A,NULL,,Net 30,Net 30,elyse@Revolutionrecovery.com,0,USD, ,-1,NULL,,,
1420,SOUTHERN RECYCLING CENTER,S,A,NULL,,(None),Net 30,,0,USD, ,-1,NULL,,,
1424,VIM RECYCLERS LLP,A,A,NULL,,Net 30,Net 30,,0,USD, ,-1,NULL,,,
1428,SKY RECYCLING,A,A,NULL,,(None),Net 30,,0,USD, ,-1,NULL,,,
1429,TRANSFER SYSTEMS & WAREHOUSING,V,A,NULL,,(None),Net 30,werner2@accs.net,0,USD, ,-1,NULL,,,
1431,RECYCLEFORCE,A,A,NULL,,(None),Net 30,,0,USD, ,-1,NULL,,,
1433,UCS,P,A,NULL,,Net 30,Net 30,nt@ucsincny.com,0,USD, ,-1,NULL,,,
1434,XPO LOGISTICS,D,A,NULL,,(None),Net 30,,NULL,USD, ,-1,NULL,,,
1435,SERYMAN PLASTICS,C,A,NULL,,COD,,,0,USD, ,-1,NULL,,,
1436,UPPER VALLEY DISPOSAL SERVICES,V,A,NULL,,(None),Net 30,Gail@uvds.com,0,USD, ,-1,NULL,,,
1442,KTI INC,D,A,NULL,,(None),Net 15,,0,USD, ,-1,NULL,,,
1443,UNITED PLASTIC RECYCLING INC,C,A,NULL,,Net 45,,ap@jetpoly.com,0,USD, ,-1,NULL,,,
1444,WASTE-NOT RECYCLING,V,A,NULL,,(None),Net 15,,0,USD, ,-1,NULL,,,
1445,PRIORITY WAREHOUSE,D,A,NULL,,(None),Net 10,,0,USD, ,-1,NULL,,,
1446,VAN WERT SOLID WASTE,A,A,NULL,,(None),Net 30,,0,USD, ,-1,NULL,,,
1450,MARTIN COUNTY RECYCLING,V,A,NULL,,(None),Net 30,,0,USD, ,-1,NULL,,,
1451,CONTI GROUP,X,A,NULL,,Net 30,,,0,USD, ,-1,NULL,,,
1453,JOHNS DISPOSAL SERVICES,V,A,NULL,,(None),Net 10,,0,USD, ,-1,NULL,,http://www.johnsdisposal.com/,
1454,FAR WEST FIBERS INC,V,A,NULL,,(None),Net 30,LUpshaw@farwestrecycling.com,0,USD, ,-1,NULL,,http://www.farwestfibers.com,
1455,PETOSKEY PLASTICS,A,A,NULL,,Net 30,Net 30,tdeagostino@petoskeyplastics.com,0,USD, ,-1,NULL,,,
1457,SHUMAN PLASTICS,C,A,NULL,,Net 15,,,0,USD, ,-1,NULL,,http://www.shuman-plastics.com/,
1458,FAITH RECYCLING SERVICES LLC,X,A,NULL,,COD,,,0,USD, ,-1,NULL,,,
1459,US RECYCLING GROUP,V,A,NULL,,(None),,,0,USD, ,-1,NULL,,,
1461,MEMPHIS RECYCLING SERVICES,V,A,NULL,,(None),COD,tjwilson@recyclingit.com,0,USD, ,-1,NULL,,,
1464,AMERICAN RECYCING OF WNC,C,A,NULL,,Net 30,Net 30,,0,USD, ,-1,NULL,,http://www.amrecyclingofwnc.com/,
1466,AR RECYCLING LLC,A,A,NULL,,COD,Net 30,Docs@ar-recycling.com,0,USD, ,-1,NULL,,http://www.ar-recycling.com,
1467,EASTERN POULTRY,V,A,NULL,,(None),Net 30,,0,USD, ,-1,NULL,,,
1468,PPP LLC,X,A,NULL,,Prepayment,,,0,USD, ,-1,NULL,,www.ppprecycle.com,
1469,SPECIALIZED FIBERS,V,A,NULL,,(None),Net 15,,0,USD, ,-1,NULL,,,
1470,DUPUY CONSULTANTS,X,A,NULL,,Net 15,,dupuyjoshp@gmail.com,0,USD, ,-1,NULL,,,
1471,PLS LOGISTICS SERVICES,D,A,NULL,,(None),Net 30,accountsreceivable@plslogistics.com; lbrown@plslogistics.com; bwoessner@plslogistics.com; sudecree@plslogistics.com,0,USD, ,-1,NULL,,plslogistics.com,
1472,OVERBEY PLASTICS,V,A,NULL,,(None),COD,,0,USD, ,-1,NULL,,overbeyplastics.com,
1474,VISH GROUP,X,A,NULL,,Net 30,Net 30,billing@vishgroup.com,0,USD, ,-1,NULL,,,
1475,INTERWEST PAPER,A,A,NULL,,(None),Net 15,hope@interwestpaper.com; marjan@interwestpaper.com,0,USD, ,-1,NULL,,,
1476,KW PLASTICS WAREHOUSE,D,A,NULL,,(None),Net 30,,0,USD, ,-1,NULL,,,
1477,RECYCLE-IT LLC,P,A,NULL,,Net 30,Net 30,,0,USD, ,-1,NULL,,,
1478,RECYCLE-IT WAREHOUSE,D,A,NULL,,(None),,,NULL,USD, ,-1,NULL,,,
1480,AXLE LOGISTICS,D,A,NULL,,(None),Net 30,carrie.ollom@axlelogistics.com,0,USD, ,-1,NULL,,axlelogistics.com,
1481,FHU WE R EXPORTING SP ZOO,V,A,NULL,ID45687US,(None),COD,,0,EUR, ,-1,NULL,,fhuwerexporting.com,
1482,JC HORIZON LTD,A,A,NULL,,Net 30,Net 30,niki@jchorizonltd.com; sally@jchorizonltd.com; ben@jchorizonltd.com; Becky@jchorizonltd.com; tracy@jchorizonltd.com;Luna@jchorizonltd.com,0,USD, ,-1,NULL,,,
1484,ASHEBORO RECYCLING,A,A,NULL,,(None),Net 30,,0,USD, ,-1,NULL,,,
1486,EVERGREEN PLASTICS,C,A,NULL,,Net 30,,accountspayable@evergreenplastics.com,0,USD, ,-1,NULL,,www.evergreenplastics.com,
1488,GLOBAL EXPRESS LOGISTICS INC,D,A,NULL,,(None),Net 30,,NULL,USD, ,-1,NULL,,,
1489,G & F TRUCKING INC,D,A,NULL,,(None),Net 30,,NULL,USD, ,-1,NULL,,,
1490,DST EXPRESS INC,D,A,NULL,,(None),Net 30,,NULL,USD, ,-1,NULL,,,
1491,SOUTHWAY CARRIERS INC,D,A,NULL,,(None),Net 30,,0,USD, ,-1,NULL,,,
1492,TRIDENT POLYMERS,V,A,NULL,,(None),COD,,0,USD, ,-1,NULL,,http://www.tridentpolymers.com/,
1493,MUCHAI LLC,D,A,NULL,,(None),Net 30,,0,USD, ,-1,NULL,,,
1494,ISUSTAIN INC,V,A,NULL,,(None),COD,,0,USD, ,-1,NULL,,,
1495,ECHO LOGISTICS,D,A,NULL,,(None),Net 30,brendan.lowry@echo.com,0,USD, ,-1,NULL,,www.echo.com,
1496,ROLL ON TRANSPORTATION,D,A,NULL,,(None),Net 30,admin@ rollonindustries.com,0,USD, ,-1,NULL,,www.rollontrans.com,
1497,JUNIPER HILL NURSERY INC,V,A,NULL,,(None),Net 30,,0,USD, ,-1,NULL,,www.juniperhillgreenhouses.com,
1500,MAUSER PACKAGING - REIDSVILLE,A,A,NULL,,Net 30,Net 30,ICSReidsvilleAP@iconserv.com,0,USD, ,-1,NULL,,,
1501,TAYLOR LOGISTICS INC,D,A,NULL,,(None),Net 30,,0,USD, ,-1,NULL,,www.taylorlogistics.com,
1502,EVANS DELIVERY - WEST CONTRACT,D,A,NULL,,(None),Net 30,lisa.woodcock@evansdelivery.com,0,USD, ,-1,NULL,,,
1503,W ENTERPRISES LLC,V,A,NULL,,(None),Net 15,,0,USD, ,-1,NULL,,,
1504,TRANS DYNAMICS INC,D,A,NULL,,(None),Net 30,kwilkerson@transdynamics.com,0,USD, ,-1,NULL,,transdynamics.com,
1505,EAST TERRA PLASTIC RECYCLING,A,A,NULL,,Net 30,Net 30,doc@east-terra.com; lucytao@east-terra.com; jaychu@east-terra.com,0,USD, ,-1,NULL,,,
1507,DELTA LOGISTICS LLC,D,A,NULL,,Net 30,Net 30,ar@deltalogisticsllc.com,0,USD, ,-1,NULL,,,
1508,PRIME 360,S,A,NULL,,(None),Net 30,,0,USD, ,-1,NULL,,,
1509,BROADWAY INTERMODAL LLC,D,A,NULL,,(None),,credit@wallstreetsystemsinc.com,0,USD, ,-1,NULL,,,
1510,COUGLES RECYCLING INC,V,A,NULL,,(None),Net 30,d.long@couglesrecycling.com,0,USD, ,-1,NULL,,couglesrecycling.com,
1511,RECOMMUNITY CORP,V,A,NULL,,(None),Net 30,arassist@recommunity.com; ;jgibson8@republicservices.com,0,USD, ,-1,NULL,,,
1512,EWS ALABAMA INC,V,A,NULL,,(None),COD,,0,USD, ,-1,NULL,,,
1513,CPM RECYCLING SERVICES,V,A,NULL,,(None),Net 30,CPMRecycleService@hotmail.com,0,USD, ,-1,NULL,,,
1515,PALLET RESOURCE,A,A,NULL,,(None),Net 30,,0,USD, ,-1,NULL,,,
1516,SERVICE RECYCLING,V,A,NULL,,(None),Net 30,s.nichols@servicerecycling.net,0,USD, ,-1,NULL,,,
1517,STRETCH LOGISTICS INC,D,A,NULL,,(None),Net 30,tneal@stretchlogistics.com,0,USD, ,-1,NULL,,,
1519,OCCUPATIONAL TRAINING CENTER,V,A,NULL,,(None),Net 30,jcarducci@otcbc.org,0,USD, ,-1,NULL,,,
1520,AMERICAN METAL & PAPER RECYCLING INC,V,A,NULL,,(None),Net 10,Donna@AmericanMPR.com,0,USD, ,-1,NULL,,,
1524,UNITED STATES RECYCLING,V,A,NULL,,(None),COD,kmccrane@unitedstatesrecycling.com,0,USD, ,-1,NULL,,,
1525,PROGRESSIVE RECYCLING SOLUTIONS,V,A,NULL,,(None),Net 30,,0,USD, ,-1,NULL,,,
1527,TOTAL RECYCLE INC,V,A,NULL,,(None),Net 30,sophia.mascaro@jpmascaro.com,0,USD, ,-1,NULL,,,
1529,CITY FIBERS INC,A,A,NULL,,Net 10,Net 10,susy@cityfibers.com,0,USD, ,-1,NULL,,,
